time_day,S_reference,I_reference,R_reference,I_your_euler,I_RK4
66.0,68.92924746299654,12.594454783223732,918.4762977537797,12.174140296696473,12.59447317220475
66.5,68.8549722846235,12.052651237249352,919.0923764781272,11.635877735318905,12.052668929933045
67.0,68.78396753842452,11.53408235985609,919.6819501017194,11.121341976902725,11.534099377781462
67.5,68.71608656394218,11.037758007621541,920.2461554284363,10.629493417839974,11.037774372860758
68.0,68.65118949922211,10.56272968699139,920.7860808137865,10.159337451751867,10.562745430569608
68.5,68.58914295180386,10.108088877136467,921.3027681710597,9.709922571163329,10.108104018435457
69.0,68.52981967801814,9.672965356797812,921.797214965184,9.280338544793528,9.672979915721063
69.5,68.47309828410509,9.256525632407795,922.2703760834871,8.869714667869616,9.25653963663799
70.0,68.4188629469939,8.85797144806794,922.7231656049382,8.477218082917714,8.85798491504221
70.5,68.36700314173063,8.476538300909679,923.1564585573597,8.102052168536183,8.476551248524675
71.0,68.31741338732121,8.111494046904568,923.5710925657743,7.743454993710429,8.111506499850538
71.5,68.26999300899209,7.762137579786614,923.9678694112214,7.400697835285583,7.762149553744067
72.0,68.22464590578741,7.427797516035987,924.3475565781766,7.073083756272409,7.427809027061838
72.5,68.1812803337506,7.107830960337545,924.710888705912,6.759946242722523,7.107842030443834
73.0,68.13980870290013,6.801622336302407,925.0585689607975,6.460647896970785,6.801632979580455
73.5,68.10014737849896,6.508582223449774,925.3912703980513,6.1745791851052525,6.508592454282697
74.0,68.06221649555323,6.2281462655890225,925.7096372388578,5.901157236588033,6.228156103592586
74.5,68.0259397849616,5.959774137394853,926.0142860776436,5.639824694013313,5.959783595221124
75.0,67.99124440312853,5.702948517132598,926.305807079739,5.390048611051689,5.702957607651259
75.5,67.95806077284236,5.457174122610082,926.5847651045477,5.151319396692275,5.457182863293562
76.0,67.92632243403726,5.221976798936181,926.8517007670267,4.9231498039558605,5.221985201132134
76.5,67.89596589735706,4.996902612131062,927.107131490512,4.705073961313384,4.996910687347699
77.0,67.86693050734259,4.781516998660393,927.3515524939971,4.496646445104033,4.78152476245371
77.5,67.83915831403361,4.575403960994511,927.5854377249719,4.297441391306359,4.575411423529437
78.0,67.81259394684295,4.378165268616253,927.8092407845409,4.107051645073646,4.378172440181421
78.5,67.78718449668122,4.189419708472734,928.0233957948461,3.9250879465014616,4.189426602911197
79.0,67.7628794052628,4.008802376208724,928.2283182185286,3.7511781511506848,4.008809002612803
79.5,67.7396303562604,3.835963972398446,928.4244056713412,3.5849664839033477,3.8359703399682257
80.0,67.7173911735595,3.6705701425045167,928.612038683936,3.4261128247812755,3.670576263552514
80.5,67.69611772565061,3.512300852857083,928.7915814214923,3.2742920254087586,3.512306735502868
81.0,67.67576783153051,3.360849771172367,928.9633823972971,3.1291932548502905,3.3608554236474495
81.5,67.65630117273813,3.2159236857803086,929.1277751414816,2.990519373602786,3.2159291190300316
82.0,67.6376792106381,3.077241956543951,929.285078832818,2.8579863345686034,3.077247177805843
82.5,67.61986510494135,2.9445359698759304,929.4355989251828,2.7313226098811785,2.944540986522088
83.0,67.60282363754953,2.8175486280789395,929.5796277343716,2.610268642499112,2.817553449833631
83.5,67.58652114088207,2.6960338664389623,929.717444992679,2.49457632152717,2.696038499740204
84.0,67.57092542722286,2.5797561740069392,929.8493183987703,2.3840084802638564,2.5797606254662853
84.5,67.55600572270905,2.4684901448873835,929.9755041324037,2.2783384160150404,2.4684944231384467
85.0,67.5417326051402,2.362020053691087,930.0962473411688,2.1773494307515655,2.362024164447568
85.5,67.52807794263381,2.2601394343126366,930.2117826230536,2.080834391725878,2.2601433835148113
86.0,67.51501483634952,2.1626506859037633,930.3223344777467,1.9885953111985122,2.1626544812107076
86.5,67.50251756645616,2.069364699736389,930.4281177338074,1.900442944459779,2.0693683462061263
87.0,67.49056153880815,1.9801004890803353,930.5293379721115,1.8161964053652566,1.980103992062296
87.5,67.47912323520802,1.8946848434126977,930.6261919213794,1.7356827986357262,1.8946882096944602
88.0,67.46818016640435,1.8129520005234654,930.7188678330723,1.6587368682030297,1.8129552345701863
88.5,67.45771082569279,1.7347433213861991,930.8075458529211,1.5852006609130165,1.7347464280288405
89.0,67.44769464569627,1.6599069868876346,930.8923983674161,1.5149232049253023,1.65990997213331
89.5,67.4381119574319,1.588297709710019,930.9735903328582,1.4477602021770313,1.5883005774887289
90.0,67.42894394990066,1.519776448796487,931.0512796013029,1.38357373430424,1.5197792034857591
90.5,67.42017263251282,1.4542101435414645,931.1256172239458,1.3222319814398042,1.454212790447934
91.0,67.41178079939993,1.3914714606118166,931.1967477399883,1.2636089533313344,1.3914740031836947
91.5,67.4037519941928,1.3314385432444273,931.2648094625629,1.2075842322458166,1.331440985464084
92.0,67.39607047734383,1.2739947784232168,931.329934744233,1.1540427271502913,1.273997124966618
92.5,67.38872119497665,1.2190285743612266,931.3922502306623,1.1028744386794629,1.2190308282446585
93.0,67.38168974816656,1.166433140437153,931.4518771113964,1.053974234421869,1.1664353052997025
93.5,67.3749623645161,1.1161062834039435,931.5089313520801,1.007241634076136,1.1161083633513738
94.0,67.36852587093354,1.0679502117525965,931.563523917314,0.9625806040479381,1.0679522094166178
94.5,67.36236766682745,1.0218713426037582,931.6157609905689,0.9198993610765944,1.0218732613256454
95.0,67.35647569937983,0.977780123450259,931.66574417717,0.8791101844978048,0.9777819668175882
95.5,67.35083843972852,0.9355908600677025,931.713570700204,0.8401292367658667,0.935592630373644
96.0,67.34544485957088,0.8952215471331678,931.7593335932961,0.8028763918748725,0.8952232474597016
96.5,67.34028440965304,0.8565937124029352,931.8031218779441,0.7672750713338623,0.8565953458640966
97.0,67.3353469989029,0.8196322652325796,931.8450207358645,0.7332520873657556,0.8196338338292514
97.5,67.33062297400993,0.7842653481035072,931.8851116778866,0.7007374930140999,0.7842668546885342
98.0,67.32610310071053,0.7504242004790757,931.9234726988105,0.6696644388553079,0.7504256477317457
98.5,67.32177854548057,0.7180430253568608,931.9601784291627,0.6399690360271109,0.7180444150342254
99.0,67.31764085772079,0.6870588592508272,931.9953002830285,0.6115902252964631,0.6870601939956857
99.5,67.31368195346828,0.6574114532533755,932.0289065932785,0.5844696519021169,0.6574127353455417
100.0,67.30989409931466,0.6290431553871914,932.0610627452983,0.5585515459185614,0.6290443863817348
